id,asset_id,title,url,terms,phrases,strong,error
174009,99657,TIME TO REMEMBER - RUN RABBIT RUN ( 1940 ) - reel 4,https://www.britishpathe.com/asset/99657/,rabbi,rabbi,1,
174010,99656,TIME TO REMEMBER - RUN RABBIT RUN ( 1940 ) - reel 3,https://www.britishpathe.com/asset/99656/,rabbi,rabbi,1,
174011,99655,TIME TO REMEMBER - RUN RABBIT RUN ( 1940 ) - reel 2,https://www.britishpathe.com/asset/99655/,rabbi,rabbi,1,
174012,99654,TIME TO REMEMBER - RUN RABBIT RUN ( 1940 ) - reel 1,https://www.britishpathe.com/asset/99654/,rabbi,rabbi,1,
174288,71580,UNSCOP VISIT UNIVERSITY AND HOSPITAL aka UN VISIT HEBREW UNIVERSITY,https://www.britishpathe.com/asset/71580/,hebrew,hebrew,1,
174293,71575,JEWISH AGENCY LAY CASE BEFORE UNSCOP aka JEWS PUT CASE TO UN,https://www.britishpathe.com/asset/71575/,"jew,jewish",jewish,1,
174403,71865,JEWS LEAVE BRITISH DETENTION CAMP FOR PALESTINE aka JEWISH REFUGEES IN DETENTION CAMP,https://www.britishpathe.com/asset/71865/,"jew,jewish","jewish,refugee",1,
174584,71983,JEWS AND ARABS MEET IN RHODES,https://www.britishpathe.com/asset/71983/,jew,,0,
174833,72033,JEWS BACK IN NAZARETH,https://www.britishpathe.com/asset/72033/,jew,,0,
174914,88552,JEWELLERY EXHIBITION,https://www.britishpathe.com/asset/88552/,jew,,0,
175025,88441,Selected Originals - THE CROWN JEWELS,https://www.britishpathe.com/asset/88441/,jew,,0,
175026,88440,THE CROWN JEWELS,https://www.britishpathe.com/asset/88440/,jew,,0,
175669,105995,JEWISH CHILD REFUGEES,https://www.britishpathe.com/asset/105995/,"jew,jewish","jewish,refugee",1,
176202,217525,ERECTED JEWISH SETTLEMENT: ISRAEL,https://www.britishpathe.com/asset/217525/,"jew,jewish","jewish,israel",1,
176217,70717,JEWISH VETERANS PROTEST IN WASHINGTON,https://www.britishpathe.com/asset/70717/,"jew,jewish",jewish,1,
176278,71079,INCIDENT ON JEWISH REFUGEE SHIP,https://www.britishpathe.com/asset/71079/,"jew,jewish","jewish,refugee",1,
176381,71025,CYPRUS - JEWISH IMMIGRANTS ARRIVE,https://www.britishpathe.com/asset/71025/,"jew,jewish",jewish,1,
176526,70949,RABBITS FOR SALE (issue title WHEELSPIN TO WILTON! ),https://www.britishpathe.com/asset/70949/,rabbi,rabbi,1,
176607,70907,JEWISH CHILDREN ON WAY TO PALESTINE,https://www.britishpathe.com/asset/70907/,"jew,jewish",jewish,1,
176638,71187,JEWISH POLICE RECRUITS IN PALESTINE,https://www.britishpathe.com/asset/71187/,"jew,jewish",jewish,1,
176655,71170,JEWISH AGENCY LEADERS RELEASED,https://www.britishpathe.com/asset/71170/,"jew,jewish",jewish,1,
176669,71156,JEWISH NEW YEAR IN PALESTINE,https://www.britishpathe.com/asset/71156/,"jew,jewish",jewish,1,
176693,71132,JEWISH AGENCY LEADERS RELEASED,https://www.britishpathe.com/asset/71132/,"jew,jewish",jewish,1,
178012,69910,JEWISH REFUGEES IN US,https://www.britishpathe.com/asset/69910/,"jew,jewish","jewish,refugee",1,
178133,70189,MURDER OF JEWELLER AT LEEDS,https://www.britishpathe.com/asset/70189/,jew,,0,
178225,70097,MENACE OF THE RABBIT,https://www.britishpathe.com/asset/70097/,rabbi,rabbi,1,
178378,217115,PALESTINE - JEWS FREED BY BRITISH,https://www.britishpathe.com/asset/217115/,jew,,0,
179077,217316,RABBIT EXHIBITION,https://www.britishpathe.com/asset/217316/,rabbi,rabbi,1,
180043,69468,RABBIT EXHIBITION,https://www.britishpathe.com/asset/69468/,rabbi,rabbi,1,
181582,67924,WIDE WIDE WORLD (aka PEACE TREATY / CARNIVAL / HESSE JEWELS),https://www.britishpathe.com/asset/67924/,jew,,0,
181883,68221,ISSY BONN - THE FAMOUS HEBREW COMEDIAN,https://www.britishpathe.com/asset/68221/,hebrew,hebrew,1,
182218,68770,PALESTINE: SCENES &amp; JEWISH LEADERS,https://www.britishpathe.com/asset/68770/,"jew,jewish",jewish,1,
182219,68769,PALESTINE: SCENES &amp; JEWISH LEADERS,https://www.britishpathe.com/asset/68769/,"jew,jewish",jewish,1,
182309,68979,JEWISH REFUGEES AT HAMBURG,https://www.britishpathe.com/asset/68979/,"jew,jewish","jewish,refugee",1,
182499,85889,JEWEL OF THE YEAR,https://www.britishpathe.com/asset/85889/,jew,,0,
182915,86172,JEWELS WORTH MILLIONS (aka MODERN JEWELLERY EXHIBITION),https://www.britishpathe.com/asset/86172/,jew,,0,
183174,86512,JEWELLERY FOR ALL,https://www.britishpathe.com/asset/86512/,jew,,0,
183441,97445,CROWN JEWELS,https://www.britishpathe.com/asset/97445/,jew,,0,
184610,208282,"DUKE AT £2,000,000 CARTIER JEWEL EXHIBITION IN AID OF NATIONAL PLAYING FIELDS",https://www.britishpathe.com/asset/208282/,jew,,0,
184811,208088,QUEEN JULIANA &amp; PRINCE BERNHARD ATTEND JEWISH SYNAGOGUE,https://www.britishpathe.com/asset/208088/,"jew,jewish,synagogue","jewish,synagogue",1,
185310,207836,ISSY BONN - THE FAMOUS HEBREW COMEDIAN,https://www.britishpathe.com/asset/207836/,hebrew,hebrew,1,
185869,66934,ITS A JEWEL (aka IT,https://www.britishpathe.com/asset/66934/,jew,,0,
185952,67192,JEWEL MODES (aka TOMMY HANDLEY INTROS JEWEL MODES),https://www.britishpathe.com/asset/67192/,jew,,0,
187583,97049,"RABBITS, MARMOTS &amp; POULTRY ON SHOW IN HOLLAND",https://www.britishpathe.com/asset/97049/,rabbi,rabbi,1,
188842,206844,JEWISH REFUGEES FROM EGYPT AND HUNGARY ARRIVE IN ISRAEL,https://www.britishpathe.com/asset/206844/,"jew,jewish","jewish,israel,refugee",1,
190129,66368,SKATING JEWELS,https://www.britishpathe.com/asset/66368/,jew,,0,
190326,84271,HATTON GARDEN BEATS JEWEL BANDITS,https://www.britishpathe.com/asset/84271/,jew,,0,
